player_id,recent_team,season,week,passing_epa,season_type,completions,interceptions,passing_tds,attempts,sacks,passing_yards
00-0033869,PIT,2023,15,-2.4031188849476166,REG,16,2,1,23,3,169
00-0033873,KC,2023,1,-6.4536129623823655,REG,21,1,2,39,0,226
00-0033873,KC,2023,2,10.558776084871267,REG,29,1,2,41,1,305
00-0033873,KC,2023,3,20.917330593607605,REG,24,0,3,33,0,272
00-0033873,KC,2023,4,0.6326508337961019,REG,18,2,1,30,1,203
00-0033873,KC,2023,5,14.760243160670512,REG,31,0,2,41,2,281
00-0033873,KC,2023,6,4.571162276312816,REG,30,1,1,40,2,306
00-0033873,KC,2023,7,22.31995404173889,REG,32,1,4,42,1,424
00-0033873,KC,2023,8,-10.966318837583815,REG,24,2,0,38,3,240
00-0033873,KC,2023,9,1.3612226745462976,REG,20,0,2,30,2,185
00-0033873,KC,2023,11,-8.02547696947013,REG,24,1,2,43,1,177
00-0033873,KC,2023,12,12.587395862261761,REG,27,0,2,34,1,298
00-0033873,KC,2023,13,3.9477347129723346,REG,21,1,1,33,3,210
00-0033873,KC,2023,14,-2.9969492363316514,REG,25,1,1,43,1,271
00-0033873,KC,2023,15,2.109378518108879,REG,27,2,2,37,3,305
00-0033873,KC,2023,16,-14.331734661759542,REG,27,1,1,44,4,235
00-0033873,KC,2023,17,-0.030240401020961483,REG,21,0,1,29,2,245
00-0033936,JAX,2023,3,0.4268732601776719,REG,2,0,0,2,0,9
00-0033936,JAX,2023,6,NA,REG,0,0,0,0,0,0
00-0033936,JAX,2023,10,-1.0978968928102404,REG,1,0,0,2,0,5
00-0033936,JAX,2023,13,0.9100369421664873,REG,9,0,0,10,2,63
00-0033936,JAX,2023,16,0.15062477526953444,REG,11,0,1,15,1,94
00-0033936,JAX,2023,17,5.191076907221023,REG,17,0,0,24,3,178
00-0033949,ARI,2023,1,-9.239667566276069,REG,21,0,0,30,3,132
00-0033949,ARI,2023,2,7.4308851843492665,REG,21,0,1,31,0,228
00-0033949,ARI,2023,3,4.56063140622018,REG,17,0,1,21,2,189
00-0033949,ARI,2023,4,3.8983110031806874,REG,28,0,2,41,1,265
00-0033949,ARI,2023,5,-15.65153375652153,REG,15,2,2,32,3,166
00-0033949,ARI,2023,6,-17.462166118847428,REG,21,1,0,41,2,235
00-0033949,ARI,2023,7,-12.358147968825682,REG,19,0,0,33,4,146
00-0033949,ARI,2023,8,-8.744719452253776,REG,25,2,2,37,2,208
00-0033949,MIN,2023,9,-4.969575328276971,REG,20,0,2,30,3,158
00-0033949,MIN,2023,10,8.31462603116892,REG,23,0,1,34,1,268
00-0033949,MIN,2023,11,1.061477755532914,REG,20,1,1,32,2,221
00-0033949,MIN,2023,12,-23.790539162216255,REG,22,4,1,32,2,185
00-0033949,MIN,2023,14,-13.79923919798222,REG,10,0,0,23,5,63
00-0033958,CHI,2023,7,-0.09442649222910404,REG,0,0,0,0,1,0
00-0034177,NYJ,2023,11,-7.643585715384688,REG,7,1,0,14,1,33
